table,G_order,q,α_position,α_label,α_degree,α_faithful,α_conductor,α_char_field_degree,χ_odd_degree,χ_two_rational,χ_conductor,χ_char_field_degree,χ_max_value_degree,G_solvable,run_started_at_utc,julia_version,oscar_version,fs2_git_revision,gap_version,ctbllib_version,scan_id,scan_total,scan_index,logged_at_utc
(2^2x3).L3(4).3,725760,3,39,,45,false,63,12,true,true,63,36,12,false,2026-08-10T07:01:47.947Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q3-findall,2397,34,2026-08-10T07:05:42.085Z
(2^2x3).U6(2).3,331085905920,3,350,,40095,false,63,6,true,true,63,18,6,false,2026-08-10T07:01:47.947Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q3-findall,2397,37,2026-08-10T07:06:19.345Z
3.L3(4).3,181440,3,31,"\chi_{36,0}",45,true,63,12,true,true,63,36,12,false,2026-08-10T07:01:47.947Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q3-findall,2397,1029,2026-08-10T08:05:37.485Z
3.L3(4).6,362880,3,43,"\chi_{36,0+37,0}",90,true,63,6,false,true,63,18,6,false,2026-08-10T07:01:47.947Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q3-findall,2397,1032,2026-08-10T08:05:38.873Z
3.L3(7).3,16892064,3,73,"\chi_{28,0}",288,true,171,36,false,true,171,108,36,false,2026-08-10T07:01:47.947Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q3-findall,2397,1035,2026-08-10T08:05:45.037Z
3.U3(11).3,638241120,3,331,"\chi_{84,0}",1440,true,333,72,false,true,333,216,72,false,2026-08-10T07:01:47.947Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q3-findall,2397,1058,2026-08-10T08:07:14.875Z
3.U3(5).3,1134000,3,85,"\chi_{26,0}",144,true,63,12,false,true,63,36,12,false,2026-08-10T07:01:47.947Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q3-findall,2397,1062,2026-08-10T08:07:37.82Z
3.U3(8).3_1,49641984,3,61,\chi_{41+42+43},1539,true,63,6,true,true,63,18,6,false,2026-08-10T07:01:47.947Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q3-findall,2397,1066,2026-08-10T08:07:39.551Z
3.U3(8).3_2,49641984,3,187,"\chi_{50,0}",567,true,171,36,true,true,171,108,36,false,2026-08-10T07:01:47.947Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q3-findall,2397,1067,2026-08-10T08:07:49.14Z
3.U6(2).3,82771476480,3,319,"\chi_{89,0}",40095,true,63,6,true,true,63,18,6,false,2026-08-10T07:01:47.947Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q3-findall,2397,1072,2026-08-10T08:08:03.274Z
9.U3(8).3_3,148925952,3,109,,1539,true,63,6,true,true,63,18,6,false,2026-08-10T07:01:47.947Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q3-findall,2397,1613,2026-08-10T08:34:56.101Z
9.U3(8).3_3,148925952,3,110,,1539,true,63,6,true,true,63,18,6,false,2026-08-10T07:01:47.947Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q3-findall,2397,1613,2026-08-10T08:34:56.183Z
9.U3(8).3_3,148925952,3,111,,1539,true,63,6,true,true,63,18,6,false,2026-08-10T07:01:47.947Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q3-findall,2397,1613,2026-08-10T08:34:56.264Z
9.U3(8).3_3,148925952,3,127,,1701,true,171,12,true,true,171,36,12,false,2026-08-10T07:01:47.947Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q3-findall,2397,1613,2026-08-10T08:34:59.303Z
"Isoclinic(3.L3(4).3,1)",181440,3,31,,45,true,63,12,true,true,63,36,12,false,2026-08-10T07:01:47.947Z,1.12.6,1.9.0-DEV,428070c0f9ad,4.16.0,1.3.11,ctbllib-fs2-q3-findall,2397,1821,2026-08-10T08:40:40.887Z
