table,G_order,G_solvable,false_characters,findall,run_started_at_utc,julia_version,oscar_version,fs2_git_revision,gap_version,scan_id,scan_total,scan_index,group_id,logged_at_utc
"(1,1)",1,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,1,"(1, 1)",2026-08-24T10:03:40.184Z
"(6,1)",6,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,2,"(6, 1)",2026-08-24T10:03:40.623Z
"(6,2)",6,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,3,"(6, 2)",2026-08-24T10:03:43.72Z
"(10,1)",10,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,4,"(10, 1)",2026-08-24T10:03:43.741Z
"(10,2)",10,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,5,"(10, 2)",2026-08-24T10:03:43.749Z
"(12,1)",12,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,6,"(12, 1)",2026-08-24T10:03:43.757Z
"(12,2)",12,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,7,"(12, 2)",2026-08-24T10:03:43.767Z
"(12,3)",12,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,8,"(12, 3)",2026-08-24T10:03:43.774Z
"(12,4)",12,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,9,"(12, 4)",2026-08-24T10:03:43.781Z
"(12,5)",12,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,10,"(12, 5)",2026-08-24T10:03:43.791Z
"(14,1)",14,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,11,"(14, 1)",2026-08-24T10:03:43.797Z
"(14,2)",14,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,12,"(14, 2)",2026-08-24T10:03:43.807Z
"(15,1)",15,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,13,"(15, 1)",2026-08-24T10:03:43.82Z
"(18,1)",18,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,14,"(18, 1)",2026-08-24T10:03:43.827Z
"(18,2)",18,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,15,"(18, 2)",2026-08-24T10:03:43.842Z
"(18,3)",18,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,16,"(18, 3)",2026-08-24T10:03:43.851Z
"(18,4)",18,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,17,"(18, 4)",2026-08-24T10:03:43.857Z
"(18,5)",18,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,18,"(18, 5)",2026-08-24T10:03:43.872Z
"(20,1)",20,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,19,"(20, 1)",2026-08-24T10:03:43.879Z
"(20,2)",20,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,20,"(20, 2)",2026-08-24T10:03:43.895Z
"(20,3)",20,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,21,"(20, 3)",2026-08-24T10:03:43.902Z
"(20,4)",20,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,22,"(20, 4)",2026-08-24T10:03:43.91Z
"(20,5)",20,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,23,"(20, 5)",2026-08-24T10:03:43.928Z
"(21,1)",21,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,24,"(21, 1)",2026-08-24T10:03:43.965Z
"(21,2)",21,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,25,"(21, 2)",2026-08-24T10:03:43.982Z
"(22,1)",22,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,26,"(22, 1)",2026-08-24T10:03:43.989Z
"(22,2)",22,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,27,"(22, 2)",2026-08-24T10:03:44.006Z
"(24,1)",24,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,28,"(24, 1)",2026-08-24T10:03:44.016Z
"(24,2)",24,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,29,"(24, 2)",2026-08-24T10:03:44.035Z
"(24,3)",24,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,30,"(24, 3)",2026-08-24T10:03:44.063Z
"(24,4)",24,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,31,"(24, 4)",2026-08-24T10:03:44.071Z
"(24,5)",24,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,32,"(24, 5)",2026-08-24T10:03:44.08Z
"(24,6)",24,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,33,"(24, 6)",2026-08-24T10:03:44.299Z
"(24,7)",24,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,34,"(24, 7)",2026-08-24T10:03:44.309Z
"(24,8)",24,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,35,"(24, 8)",2026-08-24T10:03:44.316Z
"(24,9)",24,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,36,"(24, 9)",2026-08-24T10:03:44.336Z
"(24,10)",24,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,37,"(24, 10)",2026-08-24T10:03:44.348Z
"(24,11)",24,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,38,"(24, 11)",2026-08-24T10:03:44.361Z
"(24,12)",24,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,39,"(24, 12)",2026-08-24T10:03:44.367Z
"(24,13)",24,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,40,"(24, 13)",2026-08-24T10:03:44.375Z
"(24,14)",24,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,41,"(24, 14)",2026-08-24T10:03:44.385Z
"(24,15)",24,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,42,"(24, 15)",2026-08-24T10:03:44.405Z
"(26,1)",26,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,43,"(26, 1)",2026-08-24T10:03:44.412Z
"(26,2)",26,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,44,"(26, 2)",2026-08-24T10:03:44.434Z
"(28,1)",28,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,45,"(28, 1)",2026-08-24T10:03:44.442Z
"(28,2)",28,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,46,"(28, 2)",2026-08-24T10:03:44.465Z
"(28,3)",28,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,47,"(28, 3)",2026-08-24T10:03:44.473Z
"(28,4)",28,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,48,"(28, 4)",2026-08-24T10:03:44.496Z
"(30,1)",30,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,49,"(30, 1)",2026-08-24T10:03:44.508Z
"(30,2)",30,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,50,"(30, 2)",2026-08-24T10:03:44.519Z
"(30,3)",30,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,51,"(30, 3)",2026-08-24T10:03:44.526Z
"(30,4)",30,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,52,"(30, 4)",2026-08-24T10:03:44.555Z
"(33,1)",33,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,53,"(33, 1)",2026-08-24T10:03:44.594Z
"(34,1)",34,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,54,"(34, 1)",2026-08-24T10:03:44.601Z
"(34,2)",34,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,55,"(34, 2)",2026-08-24T10:03:44.636Z
"(35,1)",35,true,0,true,2026-08-24T10:03:33.661Z,1.12.6,1.8.1,33ecdf228faa,4.16.1,smallgroups-1-567-fs2-q2-findall,34886,56,"(35, 1)",2026-08-24T10:03:44.681Z
